9 12
1 0.00000000000000e+00 1.18807171987534e+02 4.19319430544239e+01
2 0.00000000000000e+00 5.61888036929281e+01 4.19319430544239e+01
3 0.00000000000000e+00 5.61888036929281e+01 1.34182217774157e+01
4 0.00000000000000e+00 1.18807171987534e+02 1.34182217774157e+01
5 0.00000000000000e+00 8.74979878402312e+01 4.19319430544239e+01
6 0.00000000000000e+00 5.61888036929281e+01 2.76750824159198e+01
7 0.00000000000000e+00 8.74979878402313e+01 1.34182217774157e+01
8 0.00000000000000e+00 1.18807171987534e+02 2.76750824159198e+01
9 0.00000000000000e+00 8.74979878402313e+01 2.76750824159198e+01
1 102 1 5 
2 102 5 2 
3 102 2 6 
4 102 6 3 
5 102 3 7 
6 102 7 4 
7 102 4 8 
8 102 8 1 
9 204 1 5 9 8 
10 204 8 9 7 4 
11 204 5 2 6 9 
12 204 9 6 3 7 
